Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Campephilus magellanicus,Magellanic Woodpecker,Pic de Magellan,Picamaderos de Magallanes,Magelhaenspecht,magellanspett,Magellanic Woodpecker,Magellanic Woodpecker,Magellanspecht,Magellanic Woodpecker,マゼランキツツキ,Magellanic Woodpecker,dzięcioł magellański,Magellanic woodpecker,Magellanic Woodpecker,Магелланов дятел,Magellanspett,Magellanic Woodpecker,Macellan Ağaçkakanı,Дятел-кардинал магеланський,阿根廷啄木鸟
Campephilus melanoleucos,Crimson-crested Woodpecker,Pic de Malherbe,Picamaderos Barbinegro,Zwartkeelspecht,høvdingspett,Crimson-crested Woodpecker,Crimson-crested Woodpecker,Schwarzkehlspecht,Crimson-crested Woodpecker,ハナジロエボシゲラ,Crimson-crested Woodpecker,dzięcioł szkarłatnoczuby,Pica-pau-de-barrete-vermelho,Pica-Pau-De-Topete-Vermelho,Черногорлый дятел,Rödtofsspett,Crimson-crested Woodpecker,Al Tepeli Ağaçkakan,Дятел-кардинал чорногорлий,朱冠啄木鸟
Campephilus pollens,Powerful Woodpecker,Pic puissant,Picamaderos Poderoso,Bruingebandeerde Specht,inkaspett,Powerful Woodpecker,Powerful Woodpecker,Zimtbindenspecht,Powerful Woodpecker,クロビタイエボシゲラ,Powerful Woodpecker,dzięcioł białowstęgi,Powerful woodpecker,Powerful Woodpecker,Рыжеполосый дятел,Inkaspett,Powerful Woodpecker,Güçlü Ağaçkakan,Дятел-кардинал білощокий,红冠颈纹啄木鸟
Campephilus robustus,Robust Woodpecker,Pic robuste,Picamaderos Robusto,Grote Roodkopspecht,gladiatorspett,Robust Woodpecker,Robust Woodpecker,Scharlachkopfspecht,Robust Woodpecker,アカエリエボシゲラ,Robust Woodpecker,dzięcioł jasnogrzbiety,Pica-pau-rei,Pica-Pau-Rei,Рубиновоголовый дятел,Gladiatorspett,Robust Woodpecker,Sağlam Ağaçkakan,Дятел-кардинал бразильський,南美啄木鸟
Campephilus rubricollis,Red-necked Woodpecker,Pic à cou rouge,Picamaderos Cuellirrojo,Roodnekspecht,rødhalsspett,Red-necked Woodpecker,Red-necked Woodpecker,Rothalsspecht,Red-necked Woodpecker,チャバラエボシゲラ,Red-necked Woodpecker,dzięcioł czerwonoszyi,Pica-pau-de-barriga-vermelha,Pica-Pau-De-Barriga-Vermelha,Красношейный дятел,Eldspett,Red-necked Woodpecker,Kırmızı Boyunlu Ağaçkakan,Дятел-кардинал червоношиїй,红颈啄木鸟
Campethera abingoni,Golden-tailed Woodpecker,Pic à queue dorée,Pito Colidorado,Goudstaartspecht,bantuspett,Golden-tailed Woodpecker,Golden-tailed Woodpecker,Goldschwanzspecht,Golden-tailed Woodpecker,シマアフリカアオゲラ,Golden-tailed Woodpecker,dzięciolik złotosterny,Pica-pau-de-rabo-dourado,Pica-Pau-De-Rabo-Dourado,Златохвостый дятел,Guldstjärtad hackspett,Golden-tailed Woodpecker,Altın Kuyruklu Ağaçkakan,Дятлик золотохвостий,金尾啄木鸟
Campethera cailliautii,Green-backed Woodpecker,Pic de Cailliaud,Pito de Cailliaud,Groenrugspecht,grønnryggspett,Green-backed Woodpecker,Green-backed Woodpecker,Tüpfelspecht,Green-backed Woodpecker,ヒメアフリカアオゲラ,Green-backed Woodpecker,dzięciolik zielonogrzbiety,Green-backed Woodpecker,Green-Backed Woodpecker,Зеленоспинный дятел,Grönryggig hackspett,Green-backed Woodpecker,Yeşil Sırtlı Ağaçkakan,Дятлик зеленокрилий,绿背啄木鸟
Campethera mombassica,Mombasa Woodpecker,Pic de Mombasa,Pito de Mombasa,Mombassaspecht,swahilispett,Mombasa Woodpecker,Mombasa Woodpecker,Mombasaspecht,Mombasa Woodpecker,モンバサアオゲラ,Mombasa Woodpecker,dzięciolik cętkowany,Mombasa woodpecker,Mombasa Woodpecker,Момбасский дятел,Mombasaspett,Mombasa Woodpecker,Mombasa Ağaçkakanı,Дятлик момбаський,蒙巴萨啄木鸟
Campethera nubica,Nubian Woodpecker,Pic de Nubie,Pito de Nubia,Nubische Specht,akasiespett,Nubian Woodpecker,Nubian Woodpecker,Nubierspecht,Nubian Woodpecker,アフリカアオゲラ,Nubian Woodpecker,dzięciolik moręgowany,Nubian woodpecker,Nubian Woodpecker,Нубийский дятел,Nubisk hackspett,Nubian Woodpecker,Nübye Ağaçkakanı,Дятлик нубійський,东非啄木鸟
Camptostoma imberbe,Northern Beardless-Tyrannulet,Tyranneau imberbe,Mosquerito Imberbe,Chaparralvliegenpikker,nordglattyrannulett,Northern Beardless-Tyrannulet,Northern Beardless-Tyrannulet,Blasskleintyrann,Northern Beardless-Tyrannulet,メグロハエトリ,Northern Beardless-Tyrannulet,koszykotyranik północny,Northern beardless-tyrannulet,Northern Beardless-Tyrannulet,Центральноамериканский москитолов,Nordlig dvärgtyrann,Northern Beardless-Tyrannulet,Kuzeyli Bıyıksız Tiranulet,Тиранчик-тонкодзьоб північний,北无须小霸鹟
Camptostoma obsoletum,Southern Beardless-Tyrannulet,Tyranneau passegris,Mosquerito Silbón,Geelkeelvliegenpikker,sørglattyrannulett,Southern Beardless-Tyrannulet,Southern Beardless-Tyrannulet,Haubenkleintyrann,Southern Beardless-Tyrannulet,キバラメグロハエトリ,Southern Beardless-Tyrannulet,koszykotyranik czubaty,Risadinha,Risadinha,Южноамериканский москитолов,Sydlig dvärgtyrann,Southern Beardless-Tyrannulet,Güneyli Bıyıksız Tiranulet,Тиранчик-тонкодзьоб південний,南无须小霸鹟
Campylopterus falcatus,Lazuline Sabrewing,Campyloptère lazulite,Colibrí Lazulita,Blauwbuiksabelvleugel,brunhalesabelvinge,Lazuline Sabrewing,Lazuline Sabrewing,Rotschwanz-Degenflügel,Lazuline Sabrewing,ルリムネケンバネハチドリ,Lazuline Sabrewing,zapylak lazurowy,Lazuline sabrewing,Lazuline Sabrewing,Краснохвостый саблекрыл,Lazulisabelvinge,Lazuline Sabrewing,Lapis Lazuli Kılıçkanadı,Колібрі-шаблекрил рудохвостий,棕尾刀翅蜂鸟
Campylopterus hemileucurus,Violet Sabrewing,Campyloptère violet,Colibrí Morado,Violette Sabelvleugel,fiolettsabelvinge,Violet Sabrewing,Violet Sabrewing,Violettdegenflügel,Violet Sabrewing,ムラサキケンバネハチドリ,Violet Sabrewing,zapylak fioletowy,Violet sabrewing,Violet Sabrewing,Фиолетовый саблекрыл,Violett sabelvinge,Violet Sabrewing,Mor Kılıçkanat,Колібрі-шаблекрил фіолетовий,紫刀翅蜂鸟
Campylopterus largipennis,Grey-breasted Sabrewing,Campyloptère à ventre gris,Colibrí Pechigrís,Grijsborstsabelvleugel,gråbrystsabelvinge,Gray-breasted Sabrewing,Gray-breasted Sabrewing,Graubrust-Degenflügel,Gray-breasted Sabrewing,ハイバラケンバネハチドリ,Gray-breasted Sabrewing,zapylak szary,Asa-de-sabre-cinzento,Asa-De-Sabre-Da-Guiana/De-Cauda-Escura,Серогрудый саблекрыл,Gråbröstad sabelvinge,Gray-breasted Sabrewing,Gri Karınlı Kılıçkanat,Колібрі-шаблекрил сірогрудий,灰胸刀翅蜂鸟
Campylorhamphus falcularius,Black-billed Scythebill,Grimpar à bec en faux,Picoguadaña Piquinegro,Zwartsnavelmuisspecht,svartbuetreløper,Black-billed Scythebill,Black-billed Scythebill,Dunkelkappen-Sensenschnabel,Black-billed Scythebill,クロユミハシオニキバシリ,Black-billed Scythebill,drzewiarz czarnodzioby,Arapaçu-de-bico-torto,Arapaçu-De-Bico-Torto,Черноклювый дугоклюв,Svartnäbbad skärnäbb,Black-billed Scythebill,Siyah Tırpangaga,Дереволаз-серподзьоб темнолобий,黑嘴镰嘴䴕雀
Campylorhamphus procurvoides,Curve-billed Scythebill,Grimpar à bec courbe,Picoguadaña Amazónico,Kromsnavelmuisspecht,amazonbuetreløper,Curve-billed Scythebill,Curve-billed Scythebill,Dunkelsensenschnabel,Curve-billed Scythebill,ユミハシオニキバシリ,Curve-billed Scythebill,drzewiarz krzywodzioby,Arapaçu-de-bico-curvo,Arapaçu-De-Bico-Curvo/Do-Napo/Do-Tupana/Do-Tapajós/De-Bico-Curvo-De-Rondônia,Тёмный дугоклюв,Amazonskärnäbb,Curve-billed Scythebill,Amazon Tırpangagası,Дереволаз-серподзьоб амазонійський,淡嘴镰嘴䴕雀
Campylorhamphus pusillus,Brown-billed Scythebill,Grimpar à bec brun,Picoguadaña Andino,Bruinsnavelmuisspecht,brunbuetreløper,Brown-billed Scythebill,Brown-billed Scythebill,Braunsensenschnabel,Brown-billed Scythebill,チャユミハシオニキバシリ,Brown-billed Scythebill,drzewiarz brązowogłowy,Brown-billed scythebill,Brown-Billed Scythebill,Буроклювый дугоклюв,Brunnäbbad skärnäbb,Brown-billed Scythebill,And Tırpangagası,Дереволаз-серподзьоб малий,褐嘴镰嘴䴕雀
Campylorhamphus trochilirostris,Red-billed Scythebill,Grimpar à bec rouge,Picoguadaña Piquirrojo,Kolibriemuisspecht,rødbuetreløper,Red-billed Scythebill,Red-billed Scythebill,Rotrücken-Sensenschnabel,Red-billed Scythebill,アカユミハシオニキバシリ,Red-billed Scythebill,drzewiarz czerwonodzioby,Arapaçu-beija-flor,Arapaçu-Beija-Flor,Красноклювый дугоклюв,Rödnäbbad skärnäbb,Red-billed Scythebill,Kırmızı Gagalı Tırpangaga,Дереволаз-серподзьоб середній,红嘴镰嘴䴕雀
Campylorhynchus albobrunneus,White-headed Wren,Troglodyte à tête blanche,Cucarachero Cabeciblanco,Witkopwinterkoning,hvithodesmett,White-headed Wren,White-headed Wren,Weißkopf-Zaunkönig,White-headed Wren,シロガシラサボテンミソサザイ,White-headed Wren,strzyż białoglowy,White-headed wren,White-Headed Wren,Белоголовый крапивник,Vithuvad gärdsmyg,White-headed Wren,Ak Başlı Çıtkuşu,Різжак білоголовий,白头曲嘴鹪鹩
Campylorhynchus brunneicapillus,Cactus Wren,Troglodyte des cactus,Cucarachero Desértico,Cactuswinterkoning,kaktussmett,Cactus Wren,Cactus Wren,Kaktuszaunkönig,Cactus Wren,サボテンミソサザイ,Cactus Wren,strzyż kaktusowy,Cactus wren,Cactus Wren,Кактусовый крапивник,Kaktusgärdsmyg,Cactus Wren,Kaktüs Çıtkuşu,Різжак кактусовий,棕曲嘴鹪鹩
Campylorhynchus chiapensis,Giant Wren,Troglodyte géant,Cucarachero de Chiapas,Reuzenwinterkoning,chiapassmett,Giant Wren,Giant Wren,Riesenzaunkönig,Giant Wren,キタオオサボテンミソサザイ,Giant Wren,strzyż wielki,Giant wren,Giant Wren,Гигантский крапивник,Jättegärdsmyg,Giant Wren,Büyük Çıtkuşu,Різжак великий,大曲嘴鹪鹩
Campylorhynchus fasciatus,Fasciated Wren,Troglodyte fascié,Cucarachero Ondeado,Zebrawinterkoning,sebrasmett,Fasciated Wren,Fasciated Wren,Bindenzaunkönig,Fasciated Wren,ヨコジマサボテンミソサザイ,Fasciated Wren,strzyż zebrowany,Fasciated wren,Fasciated Wren,Мраморный крапивник,Bandad gärdsmyg,Fasciated Wren,Bant Sırtlı Çıtkuşu,Різжак смугастий,横斑曲嘴鹪鹩
Campylorhynchus griseus,Bicoloured Wren,Troglodyte bicolore,Cucarachero Currucuchú,Tweekleurige Winterkoning,venezuelasmett,Bicolored Wren,Bicolored Wren,Brauenzaunkönig,Bicolored Wren,オオサボテンミソサザイ,Bicolored Wren,strzyż dwubarwny,Garrincha-dos-lhanos,Garrincha-Dos-Lhanos,Белобровый крапивник,Tvåfärgad gärdsmyg,Bicolored Wren,İki Renkli Çıtkuşu,Різжак білобровий,灰曲嘴鹪鹩
Campylorhynchus gularis,Spotted Wren,Troglodyte tacheté,Cucarachero Manchado,Gevlekte Winterkoning,eikesmett,Spotted Wren,Spotted Wren,Bartzaunkönig,Spotted Wren,メキシコサボテンミソサザイ,Spotted Wren,strzyż dębowy,Spotted wren,Spotted Wren,Spotted Wren,Fläckgärdsmyg,Spotted Wren,Benekli Çıtkuşu,Різжак дубовий,斑曲嘴鹪鹩
Campylorhynchus jocosus,Boucard's Wren,Troglodyte de Boucard,Cucarachero del Balsas,Harlekijnwinterkoning,azteksmett,Boucard's Wren,Boucard's Wren,Harlekinzaunkönig,Boucard's Wren,ホシサボテンミソサザイ,Boucard's Wren,strzyż białolicy,Boucard's wren,Boucard's Wren,Пятнистогрудый крапивник,Boucardgärdsmyg,Boucard's Wren,Balses Çıtkuşu,Різжак плямистий,波氏曲嘴鹪鹩
Campylorhynchus megalopterus,Grey-barred Wren,Troglodyte zébré,Cucarachero Serrano,Grijsbandwinterkoning,furusmett,Gray-barred Wren,Gray-barred Wren,Graubinden-Zaunkönig,Gray-barred Wren,シマサボテンミソサザイ,Gray-barred Wren,strzyż jarzębaty,Gray-barred wren,Gray-Barred Wren,Крапчатый крапивник,Gråbandad gärdsmyg,Gray-barred Wren,Gri Şeritli Çıtkuşu,Різжак зебровий,灰斑曲嘴鹪鹩
Campylorhynchus nuchalis,Stripe-backed Wren,Troglodyte rayé,Cucarachero Chocorocoy,Streeprugwinterkoning,spraglesmett,Stripe-backed Wren,Stripe-backed Wren,Pantherzaunkönig,Stripe-backed Wren,タテジマサボテンミソサザイ,Stripe-backed Wren,strzyż plamisty,Stripe-backed wren,Stripe-Backed Wren,Полосатый крапивник,Gulögd gärdsmyg,Stripe-backed Wren,Çizgili Sırtlı Çıtkuşu,Різжак венесуельський,纹背曲嘴鹪鹩
Campylorhynchus rufinucha,Rufous-naped Wren,Troglodyte à nuque rousse,Cucarachero Nuquirrufo,Roodnek-winterkoning,rustnakkesmett,Rufous-naped Wren,Rufous-naped Wren,Rotnacken-Zaunkönig,Rufous-naped Wren,アカエリサボテンミソサザイ,Rufous-naped Wren,strzyż rdzawokarkowy,Veracruz wren,Veracruz Wren,Рыжешейный крапивник,Rostnackad gärdsmyg/Sclaters gärdsmyg/Kastanjeryggig gärdsmyg,Rufous-naped Wren,Kızıl Enseli Çıtkuşu,Різжак рудошиїй,棕颈曲嘴鹪鹩
Campylorhynchus turdinus,Thrush-like Wren,Troglodyte grivelé,Cucarachero Turdino,Lijsterwinterkoning,trostesmett,Thrush-like Wren,Thrush-like Wren,Drosselzaunkönig,Thrush-like Wren,シロサボテンミソサザイ,Thrush-like Wren,strzyż drozdowaty,Catatau,Catatau,Дроздовый крапивник,Trastgärdsmyg,Thrush-like Wren,Ardıç Çıtkuşu,Різжак дроздовий,拟鸫曲嘴鹪鹩
Campylorhynchus yucatanicus,Yucatan Wren,Troglodyte du Yucatan,Cucarachero Yucateco,Yucatánwinterkoning,yucatánsmett,Yucatan Wren,Yucatan Wren,Yucatánzaunkönig,Yucatan Wren,ユカタンサボテンミソサザイ,Yucatan Wren,strzyż jukatański,Yucatan wren,Yucatan Wren,Юкатанский крапивник,Yucatángärdsmyg,Yucatan Wren,Yukatan Çıtkuşu,Різжак юкатанський,尤卡曲嘴鹪鹩
Campylorhynchus zonatus,Band-backed Wren,Troglodyte zoné,Cucarachero Barrado,Tijgerwinterkoning,båndryggsmett,Band-backed Wren,Band-backed Wren,Tigerzaunkönig,Band-backed Wren,キバラサボテンミソサザイ,Band-backed Wren,strzyż rdzawobrzuchy,Band-backed wren,Band-Backed Wren,Тигровый крапивник,Bandryggig gärdsmyg,Band-backed Wren,Kaplan Çıtkuşu,Різжак тигровий,斑背曲嘴鹪鹩
Canachites canadensis,Spruce Grouse,Tétras du Canada,Gallo Canadiense,Bossneeuwhoen,granjerpe,Spruce Grouse,Spruce Grouse,Tannenhuhn,Spruce Grouse,ハリモミライチョウ,Spruce Grouse,borowiak kanadyjski,Spruce grouse,Spruce Grouse,Канадская дикуша,Granjärpe,Spruce Grouse,Amerika Ladin Tavuğu,Дикуша канадська,枞树镰翅鸡
Canis latrans,Coyote,Coyote,Coyote,Coyote,Coyote,Coyote,Coyote,Kojote,Coyote,Coyote,Coyote,kojot preriowy,Coyote,Coyote,Coyote,Coyote,Coyote,Coyote,Coyote,Coyote
Canis lupus,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Wolf,Gray Wolf,Gray Wolf,Gray Wolf,wilk szary,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf,Gray Wolf
Cantorchilus elutus,Isthmian Wren,Troglodyte du Panama,Cucarachero del Istmo,Isthmian Wren,panamasmett,Isthmian Wren,Isthmian Wren,Panamazaunkönig,Isthmian Wren,パナマミソサザイ,Isthmian Wren,pręgostrzyżyk żółtooki,Isthmian wren,Isthmian Wren,Тусклый крапивник,Panamagärdsmyg,Isthmian Wren,Istmus Çıtkuşu,Поплітник панамський,地峡苇鹪鹩
Cantorchilus guarayanus,Fawn-breasted Wren,Troglodyte des Guarayos,Cucarachero del Guarayos,Guarayoswinterkoning,boliviasmett,Fawn-breasted Wren,Fawn-breasted Wren,Guarayoszaunkönig,Fawn-breasted Wren,キムネマユミソサザイ,Fawn-breasted Wren,pręgostrzyżyk boliwijski,Garrincha-do-oeste,Garrincha-Do-Oeste,Боливийский крапивник,Guarayosgärdsmyg,Fawn-breasted Wren,Guarayos Çıtkuşu,Поплітник болівійський,褐胸苇鹪鹩
Cantorchilus leucopogon,Stripe-throated Wren,Troglodyte balafré,Cucarachero Gorjirrayado,Streepkeelwinterkoning,strekstrupesmett,Stripe-throated Wren,Stripe-throated Wren,Streifenkehl-Zaunkönig,Stripe-throated Wren,シマノドマユミソサザイ,Stripe-throated Wren,pręgostrzyżyk płowy,Stripe-throated wren,Stripe-Throated Wren,Пестрощёкий крапивник,Strimstrupig gärdsmyg,Stripe-throated Wren,Çizgili Gerdanlı Çıtkuşu,Поплітник смугастогорлий,纹喉苇鹪鹩
Cantorchilus leucotis,Buff-breasted Wren,Troglodyte à face pâle,Cucarachero Pechihabano,Witoorwinterkoning,okerbrystsmett,Buff-breasted Wren,Buff-breasted Wren,Weißohr-Zaunkönig,Buff-breasted Wren,ホオジロマユミソサザイ,Buff-breasted Wren,pręgostrzyżyk amazoński,Garrinchão-de-barriga-vermelha,Garrinchão-De-Barriga-Vermelha,Белоухий крапивник,Beigebröstad gärdsmyg,Buff-breasted Wren,Açık Suratlı Çıtkuşu,Поплітник амазонійський,黄胸苇鹪鹩
Cantorchilus longirostris,Long-billed Wren,Troglodyte à long bec,Cucarachero Piquilargo,Langsnavelwinterkoning,langnebbsmett,Long-billed Wren,Long-billed Wren,Langschnabel-Zaunkönig,Long-billed Wren,ハシナガマユミソサザイ,Long-billed Wren,pręgostrzyżyk długodzioby,Garrinchão-de-bico-grande,Garrinchão-De-Bico-Grande,Длинноклювый крапивник,Långnäbbad gärdsmyg,Long-billed Wren,Uzun Gagalı Çıtkuşu,Поплітник довгодзьобий,长嘴苇鹪鹩
Cantorchilus modestus,Cabanis's Wren,Troglodyte modeste,Cucarachero Modesto,Cabanis's Wren,kanelgumpsmett,Cabanis's Wren,Cabanis's Wren,Cabaniszaunkönig,Cabanis's Wren,ムジミソサザイ,Cabanis's Wren,pręgostrzyżyk skromny,Cabanis's wren,Cabanis's Wren,Буланый крапивник,Kanelgärdsmyg,Cabanis's Wren,Cabanis Çıtkuşu,Поплітник садовий,纯色苇鹪鹩
